epoch,train_loss,val_loss,train_path_log_prob,train_path_prob,train_leaf_acc,val_path_log_prob,val_path_acc,val_leaf_acc,val_target_path_prob,val_pred_path_prob,val_level_0_acc,val_level_1_acc,val_level_2_acc
1,1.6724854790602774,1.0859846329405194,-1.6724854779430678,0.25618514610150606,NOT_IMPLEMENTED,-1.0887879887006047,0.6463560334528077,0.6463560334528077,0.424684830357097,0.497988753634969,0.7228195937873357,0.6571087216248507,0.6463560334528077
2,1.125188641816287,0.8623588857906205,-1.1251886429108506,0.4314465756285577,NOT_IMPLEMENTED,-0.8652008832337751,0.7610513739545998,0.7610513739545998,0.5334842950639759,0.5962255788675488,0.8207885304659498,0.7622461170848268,0.7610513739545998
3,0.8743212865674991,0.7756205405685164,-0.8743212865637248,0.5359283600459225,NOT_IMPLEMENTED,-0.7782132321904138,0.7479091995221028,0.7479091995221028,0.5867293834543855,0.6561830904036582,0.8088410991636799,0.7538829151732378,0.7479091995221028
4,0.7010295304499016,0.7912923396698066,-0.7010295299441377,0.6111939891931255,NOT_IMPLEMENTED,-0.7939998672534061,0.7443249701314217,0.7443249701314217,0.6035594011577939,0.6852473302554059,0.7956989247311828,0.7574671445639187,0.7443249701314217
5,0.5753883413815721,0.5839166748381797,-0.5753883409494083,0.6719408646573171,NOT_IMPLEMENTED,-0.5856954200969945,0.7968936678614098,0.7968936678614098,0.6703751661159374,0.7253101307858703,0.8530465949820788,0.8076463560334528,0.7968936678614098
6,0.4816822788537515,0.586547410851788,-0.48168227948029474,0.7198565561690471,NOT_IMPLEMENTED,-0.5885210963880717,0.8267622461170848,0.8267622461170848,0.6976643565735082,0.7625834917651853,0.8805256869772998,0.8434886499402628,0.8267622461170848
7,0.39145234410897306,0.5129833753885967,-0.3914523436494451,0.7640672353187834,NOT_IMPLEMENTED,-0.5146754227507427,0.8291517323775388,0.8291517323775388,0.7149056764486442,0.7706807591154584,0.8721624850657109,0.8458781362007168,0.8291517323775388
8,0.3351555174497818,0.5428593566596863,-0.33515551756631506,0.7953274263769177,NOT_IMPLEMENTED,-0.5447735775900803,0.8351254480286738,0.8351254480286738,0.7322926788347169,0.8036740721340248,0.8793309438470729,0.8375149342891278,0.8351254480286738
9,0.2819375210102429,0.4869792977880154,-0.2819375209621198,0.8236313706231818,NOT_IMPLEMENTED,-0.4887052638269293,0.8363201911589009,0.8363201911589009,0.7639691935075511,0.8299835567121152,0.8697729988052568,0.8387096774193549,0.8363201911589009
10,0.24779490542396612,0.553585612037707,-0.2477949055310635,0.8413036913887466,NOT_IMPLEMENTED,-0.555540939521494,0.8315412186379928,0.8315412186379928,0.7542374337730727,0.8315904107714782,0.8817204301075269,0.8482676224611708,0.8315412186379928
11,0.20821009589082692,0.4681347705678837,-0.2082100955501912,0.8675504363205174,NOT_IMPLEMENTED,-0.46980650051777323,0.8626045400238949,0.8626045400238949,0.7961423738170837,0.8596946104310604,0.8984468339307049,0.8745519713261649,0.8626045400238949
12,0.19015869332605778,0.593272977073433,-0.19015869320728349,0.8768304972300776,NOT_IMPLEMENTED,-0.595395654821162,0.8172043010752689,0.8172043010752689,0.7587373080789117,0.8636669288684248,0.8781362007168458,0.8219832735961768,0.8172043010752689
13,0.15810719854909036,0.5021191953005092,-0.15810719886657865,0.8947664134528982,NOT_IMPLEMENTED,-0.5039112033537203,0.8482676224611708,0.8482676224611708,0.7884442366152254,0.8588876423727512,0.8853046594982079,0.8482676224611708,0.8482676224611708
