epoch,train_loss,val_loss,train_path_log_prob,train_path_prob,train_leaf_acc,val_path_log_prob,val_path_acc,val_leaf_acc,val_target_path_prob,val_pred_path_prob
1,1.7772887366943688,1.1081906655005047,-1.7772887366943688,0.21494776599312987,0.36326789107029767,-1.1096608286262841,NOT_IMPLEMENTED,0.6511350059737157,0.4258977307213677,0.4917449429898279
2,1.1399388562250041,0.8120982445510371,-1.1399388563457835,0.44294368943695844,0.6257124762507916,-0.8148235433391132,NOT_IMPLEMENTED,0.7335722819593787,0.5977386905585851,0.6882321548291005
3,0.749344775041805,0.6411508965217286,-0.749344775041805,0.6189856474054741,0.771247625079164,-0.6433648325106754,NOT_IMPLEMENTED,0.8088410991636799,0.7216001649697622,0.808749388551769
4,0.5046774220856693,0.6116405282967857,-0.5046774221158642,0.7370253866264764,0.8443318556048132,-0.6137748789442803,NOT_IMPLEMENTED,0.8100358422939068,0.7454635416877455,0.8320386478835394
5,0.37105991106537917,0.5062157108537143,-0.37105991106537917,0.8017278618793539,0.8846105129829006,-0.5079304056070754,NOT_IMPLEMENTED,0.8542413381123058,0.7927746098386201,0.8696383728491078
6,0.2703285348599752,0.6670099166579478,-0.2703285348599752,0.8537177125703479,0.9195693476884104,-0.6693822355368458,NOT_IMPLEMENTED,0.7873357228195937,0.7609427975782215,0.8767514915306793
7,0.21634604023715714,0.6985026728979955,-0.21634604023715714,0.8822010309711898,0.9352754908169728,-0.6994994829718709,NOT_IMPLEMENTED,0.7921146953405018,0.7645747248559585,0.8883114565373037
8,0.1659704911472557,0.7766307207691994,-0.1659704911472557,0.908234524660439,0.9497150094996833,-0.7794090649316125,NOT_IMPLEMENTED,0.7837514934289128,0.7547721112928083,0.8907378180622343
9,0.13681138026723677,0.8011698257516227,-0.1368113802747855,0.9216160130778586,0.9554148195060165,-0.803634497808268,NOT_IMPLEMENTED,0.7670250896057348,0.7276645596879072,0.8560284297098822
10,0.11554270150784104,0.7652501740279453,-0.11554270150784104,0.9351789467980314,0.9658011399620012,-0.7679878970820361,NOT_IMPLEMENTED,0.7801672640382318,0.7537149687964144,0.8756859079626441
11,0.09013995459320318,1.0994205755338218,-0.09013995462339804,0.9481993583016844,0.9736542115262825,-1.1033608528489223,NOT_IMPLEMENTED,0.7180406212664278,0.7012486665052325,0.876839341869491
12,0.08176191240757297,0.949456303393769,-0.08176191240757297,0.9533944457407055,0.9766941101963268,-0.9528588184507308,NOT_IMPLEMENTED,0.7670250896057348,0.7456683677798104,0.8920202875507632
13,0.06196448914444198,1.1358766984254804,-0.06196448914444198,0.9639899940536619,0.9815072830905637,-1.1399474608490021,NOT_IMPLEMENTED,0.7407407407407407,0.7270665594611402,0.8978662317086862
14,0.055336091792096496,0.6833991127224484,-0.055336091792096496,0.9680436189534575,0.9829005699810006,-0.6858484450098649,NOT_IMPLEMENTED,0.8243727598566308,0.7911415580780276,0.8977715657176083
15,0.06563212502658915,0.6010805429537694,-0.06563212502682504,0.9643690839726874,0.9801139962001266,-0.6032345476151989,NOT_IMPLEMENTED,0.8195937873357229,0.7837978018939566,0.8924418608062726
16,0.052012870085313315,0.79384525509626,-0.0520128700862569,0.9703018522794002,0.984547181760608,-0.7966432286727686,NOT_IMPLEMENTED,0.7933094384707288,0.7648430299303153,0.89900385806495
17,0.05428537860332242,1.2455662546737585,-0.05428537860332242,0.9699419493491647,0.9826472450918303,-1.2500299816584177,NOT_IMPLEMENTED,0.7323775388291517,0.7082405101013868,0.8797307858330374
18,0.04503922890426931,0.8740810277668061,-0.04503922890426931,0.9745351357844101,0.9869537682077264,-0.877040400372995,NOT_IMPLEMENTED,0.7670250896057348,0.7490819543778113,0.8913045259929188
19,0.03597955322146151,0.7465668003551573,-0.03597955322157946,0.9797111112537596,0.9899936668777708,-0.7492235680305473,NOT_IMPLEMENTED,0.8148148148148148,0.7945904147810121,0.9153161632117405
20,0.0444701504677179,1.4654135851041896,-0.0444701504677179,0.9755736083969881,0.985940468651045,-1.470664538444549,NOT_IMPLEMENTED,0.7216248506571087,0.7007321132927813,0.9059663900622615
21,0.04046684327480349,0.7054861509243415,-0.04046684327480349,0.9786661480758208,0.9888537048765041,-0.7080147200033531,NOT_IMPLEMENTED,0.8064516129032258,0.7867400515891317,0.8985043887311555
22,0.037295572822458024,0.9309965551981197,-0.037295572822458024,0.9800006773817261,0.9903736542115262,-0.9343329314883796,NOT_IMPLEMENTED,0.7968936678614098,0.7714407894773723,0.9084868676773536
23,0.03798557188378136,0.8357273889255469,-0.03798557188378136,0.9791988304230218,0.9879670677644079,-0.8387224853658575,NOT_IMPLEMENTED,0.7634408602150538,0.7429899371795472,0.8807660512172193
24,0.027461258593534387,0.9380311292408026,-0.027461258593534387,0.9845300971133126,0.9918936035465484,-0.9413230823811709,NOT_IMPLEMENTED,0.7694145758661888,0.7550458944399298,0.8976562550133417
25,0.030551523385659782,1.127266994932697,-0.030551523385718756,0.9833905668183783,0.9918936035465484,-1.1313069379352332,NOT_IMPLEMENTED,0.7574671445639187,0.7297984382300109,0.9029047063317065
26,0.03474041091071892,0.8521772069899033,-0.034740410910719846,0.9820612962787033,0.9887270424319189,-0.8552315978903512,NOT_IMPLEMENTED,0.7813620071684588,0.7697486321629874,0.9014001168942651
27,0.020456022159803033,0.7874226498109768,-0.02045602215980672,0.9879696033706298,0.9940468651044965,-0.7902449438153137,NOT_IMPLEMENTED,0.8172043010752689,0.7924006572048866,0.91707542748719
28,0.02794268796141855,1.0860582886172085,-0.02794268796141855,0.9845334957707617,0.9905003166561115,-1.0899509343372034,NOT_IMPLEMENTED,0.7562724014336918,0.7437461644517905,0.9202191563347619
29,0.023294500152644386,1.2137783466087395,-0.023294500152644386,0.9867580154082213,0.9927802406586447,-1.21812880449606,NOT_IMPLEMENTED,0.7562724014336918,0.7402715846059428,0.9141840926920072
30,0.02659581390792329,0.9373584858438941,-0.02659581390792329,0.9857487308942801,0.9920202659911336,-0.940714064750788,NOT_IMPLEMENTED,0.7921146953405018,0.77385353144779,0.9174944656581719
31,0.028308602550472912,0.8278118948884228,-0.028308602550502403,0.9854783881097096,0.9898670044331855,-0.8307787276193388,NOT_IMPLEMENTED,0.7968936678614098,0.7790893010056289,0.912238415566539
32,0.01831428957045061,0.8921190848679543,-0.018314289570568562,0.9902472242395929,0.994426852438252,-0.8953157424511898,NOT_IMPLEMENTED,0.7849462365591398,0.7728771428480797,0.9040162193020327
33,0.024875713619955105,0.9709612320881076,-0.024875713619955105,0.986472993183281,0.9917669411019633,-0.9744413649188303,NOT_IMPLEMENTED,0.8016726403823178,0.7695878278397318,0.9107462247497576
34,0.022466927553099657,1.0496804625928338,-0.022466927553099657,0.9880395079939319,0.9925269157694744,-1.0534427543122238,NOT_IMPLEMENTED,0.7813620071684588,0.7722182298076907,0.9256527869647264
35,0.018148453308016156,0.9198458735031138,-0.0181484533080309,0.9899134284759123,0.9943001899936669,-0.9231427864815053,NOT_IMPLEMENTED,0.7789725209080047,0.7578707382955289,0.9052547049778764
36,0.026226780833115602,0.8365204251881067,-0.026226780833115602,0.9869355716362309,0.9917669411019633,-0.8395187041456041,NOT_IMPLEMENTED,0.8052568697729988,0.7808925955241441,0.9052294885100999
37,0.012333612872000629,0.7865827601700963,-0.012333612872000629,0.992367955870179,0.9963267891070298,-0.7894020519354809,NOT_IMPLEMENTED,0.8207885304659498,0.8102455002432656,0.9228251414771861
38,0.02036622423158536,1.0251261967125584,-0.02036622423158536,0.9891909261544546,0.9929069031032299,-1.0288004837286993,NOT_IMPLEMENTED,0.7968936678614098,0.7770466686292077,0.9281243225437196
39,0.025702605601664603,0.8578117380151266,-0.025702605601664603,0.9873808669766153,0.9924002533248891,-0.8608863320581915,NOT_IMPLEMENTED,0.8052568697729988,0.7728880424510906,0.8941984974212829
40,0.01269328431978132,0.9274090602753988,-0.012693284323555678,0.9921519385524313,0.995060164661178,-0.9307331066591483,NOT_IMPLEMENTED,0.7718040621266428,0.7621324451166241,0.8943365393573666
41,0.01897256053159444,1.1397801071865572,-0.018972560531601814,0.989952542499206,0.9931602279924002,-1.1438652632099908,NOT_IMPLEMENTED,0.7718040621266428,0.7549198897936011,0.9126978104971928
42,0.014146438441806481,1.0084425116628581,-0.014146438441806481,0.9929887444354601,0.9956934768841038,-1.012056999242879,NOT_IMPLEMENTED,0.7873357228195937,0.7641209553361936,0.9071327762649336
43,0.0236021824461287,1.3849997776985274,-0.0236021824461287,0.9883749310791553,0.9931602279924002,-1.3899639252078377,NOT_IMPLEMENTED,0.7060931899641577,0.6996680669744667,0.9007517622078334
44,0.010300968088164988,1.0592323145095308,-0.010300968088166832,0.9936213640094166,0.9964534515516149,-1.063028832430031,NOT_IMPLEMENTED,0.7658303464755077,0.7539555604526219,0.9148457652066914
45,0.015087268768161593,0.862824663905165,-0.015087268768161593,0.991160288166251,0.9943001899936669,-0.865917217306352,NOT_IMPLEMENTED,0.7968936678614098,0.7854227626622792,0.9199856152243939
46,0.016869421515249918,1.0772623310877958,-0.016869421515249918,0.9907955106993215,0.9940468651044965,-1.0811229472178525,NOT_IMPLEMENTED,0.7933094384707288,0.7693802462968633,0.9161835893223078
47,0.021581391090781152,0.9912798219338128,-0.021581391090781152,0.9898048494966076,0.9932868904369855,-0.9948326812712605,NOT_IMPLEMENTED,0.7753882915173238,0.7675617986682496,0.922733914681233
48,0.01499291712927725,0.8821623219347614,-0.014992917129280936,0.9923876196055427,0.9951868271057631,-0.8853241786745801,NOT_IMPLEMENTED,0.7992831541218638,0.7694474382497362,0.9012656422641258
49,0.01700397225631706,1.0053881640083595,-0.01700397225631706,0.9907572593732445,0.9937935402153262,-1.0089917002602908,NOT_IMPLEMENTED,0.7753882915173238,0.7500146078735839,0.8915238960099762
50,0.014974944231609354,1.244820616099662,-0.014974944231609354,0.9922536129345164,0.995060164661178,-1.2492823383107385,NOT_IMPLEMENTED,0.7634408602150538,0.7442730405994356,0.9189685338144519
51,0.011274899099810972,0.9796546129173738,-0.011274899099812816,0.9934057953872217,0.9953134895503484,-0.9831659155009764,NOT_IMPLEMENTED,0.7753882915173238,0.764891132658955,0.9220875155541205
52,0.021873046955799582,0.9425310584683887,-0.021873046955799582,0.9901683087467302,0.9934135528815706,-0.9459085403975604,NOT_IMPLEMENTED,0.8076463560334528,0.7848841795784598,0.9220384204829181
53,0.012511740919496826,1.130426319656947,-0.012511740919497286,0.9929264434504774,0.9959468017732742,-1.1344776680041402,NOT_IMPLEMENTED,0.7741935483870968,0.7612213359938728,0.9273074349052447
54,0.010401599493223229,0.9022237789813716,-0.010401599493223229,0.9942380338756267,0.9968334388853705,-0.9054575504124177,NOT_IMPLEMENTED,0.7968936678614098,0.7697183795300009,0.9086551112228539
55,0.018357194748299843,0.972643534017087,-0.018357194748299843,0.9911195269230048,0.9929069031032299,-0.9761286042366887,NOT_IMPLEMENTED,0.7885304659498208,0.7822210914060349,0.9306118814463826
56,0.012299510099890436,1.2062337356392547,-0.012299510099890436,0.994171047494525,0.9963267891070298,-1.2105571540465638,NOT_IMPLEMENTED,0.7395459976105138,0.7225933639664234,0.9069743680555191
57,0.012111434445944818,1.8075161851667805,-0.012111434445944818,0.9935863313341575,0.9960734642178594,-1.8139947365199667,NOT_IMPLEMENTED,0.7216248506571087,0.7036737866583975,0.9221263010157195
58,0.005926968169827213,0.935051153786422,-0.005926968169827213,0.9962885534086972,0.9981000633312223,-0.9384025129961612,NOT_IMPLEMENTED,0.8064516129032258,0.7960461435067326,0.9349065470723981
59,0.01586828146396887,0.9245417591101116,-0.01586828146396887,0.9924027462921123,0.9949335022165928,-0.9278555284287525,NOT_IMPLEMENTED,0.8004778972520908,0.794914581442392,0.9378626584437016
60,0.013543901102835052,1.3622374057784876,-0.013543901102835052,0.9927747321768976,0.9954401519949335,-1.367119975843544,NOT_IMPLEMENTED,0.7048984468339307,0.7056966720676336,0.9088567395648933
61,0.010054270222027317,1.3024352184843597,-0.010054270222027317,0.9949946870315884,0.9965801139962002,-1.3071034446466359,NOT_IMPLEMENTED,0.7275985663082437,0.7219094255206975,0.9109831473021239
62,0.017705590911375475,1.0544790712236605,-0.017705590911611373,0.9919789374297392,0.9948068397720076,-1.0582585622571394,NOT_IMPLEMENTED,0.7622461170848268,0.7596778418855428,0.9195119151077817
63,0.011609275765384338,0.9481556784638522,-0.011609275765443313,0.9945875213018184,0.9960734642178594,-0.9515540846317232,NOT_IMPLEMENTED,0.7980884109916367,0.7768315616616781,0.912101395098824
64,0.01343727177545259,0.988219262559096,-0.01343727177545259,0.9935083241629383,0.9956934768841038,-0.9917605279775495,NOT_IMPLEMENTED,0.7885304659498208,0.7721041891737224,0.9190985103234596
65,0.012147961503505698,1.2304907858139906,-0.012147961503505698,0.9941845483692946,0.9959468017732742,-1.2349007091249486,NOT_IMPLEMENTED,0.7491039426523297,0.7390078816077758,0.9157504424399372
66,0.017872927332877344,0.9548403842911988,-0.01787292733289209,0.9915691963807428,0.9940468651044965,-0.9578818127144207,NOT_IMPLEMENTED,0.7897252090800478,0.7828193580377913,0.9323909311881344
67,0.00498122566645484,0.8319787238469585,-0.00498122566645484,0.9966278773371089,0.9982267257758075,-0.8349568958461329,NOT_IMPLEMENTED,0.8112305854241338,0.7951697027455379,0.9200870258691348
68,0.012324306623600071,1.2535854844297492,-0.012324306623600071,0.9943065591677344,0.9960734642178594,-1.2580772190482907,NOT_IMPLEMENTED,0.7216248506571087,0.7108923915680164,0.911135598037975
