epoch,train_loss,val_loss,train_path_log_prob,train_path_prob,train_leaf_acc,val_path_log_prob,val_path_acc,val_leaf_acc,val_target_path_prob,val_pred_path_prob,val_level_0_acc,val_level_1_acc,val_level_2_acc
1,4.470271874041784,2.9836816320816677,-4.470271866734629,0.041479841102408675,NOT_IMPLEMENTED,-2.990129742001405,0.4982078853046595,0.5567502986857825,0.22300993914636943,0.28140439582697097,0.7204301075268817,0.6296296296296297,0.5567502986857825
2,2.7267801665607556,2.4141765994685036,-2.72678016459809,0.22553957279171444,NOT_IMPLEMENTED,-2.4223054916805977,0.6666666666666666,0.7084826762246117,0.3866214958979807,0.46209642276826585,0.7753882915173238,0.6989247311827957,0.7084826762246117
3,1.7505388877485721,1.983358392243584,-1.7505388888091664,0.4397994870732311,NOT_IMPLEMENTED,-1.9903726529045167,0.7275985663082437,0.7670250896057348,0.5722369029138821,0.6538516211110916,0.8183990442054958,0.7479091995221028,0.7670250896057348
4,1.150451081552993,1.7750748857944494,-1.1504510807660395,0.6032887229275076,NOT_IMPLEMENTED,-1.7811852540985516,0.7586618876941458,0.7765830346475507,0.6078797853512861,0.6728148688979474,0.8410991636798089,0.7801672640382318,0.7765830346475507
5,0.8267217976642205,1.8003050179265085,-0.8267217951863551,0.696318599771946,NOT_IMPLEMENTED,-1.806526852871782,0.7670250896057348,0.8076463560334528,0.6528516823388057,0.7268499017046629,0.8399044205495818,0.8052568697729988,0.8076463560334528
6,0.6254930793144481,2.176017398152146,-0.625493081954139,0.7659815405971977,NOT_IMPLEMENTED,-2.183558694648878,0.7383512544802867,0.7682198327359617,0.6140309464644859,0.7154955839028353,0.8076463560334528,0.7813620071684588,0.7682198327359617
7,0.4659872852561178,2.0575308229153353,-0.4659872865877581,0.8149107916029632,NOT_IMPLEMENTED,-2.0648766890504224,0.7431302270011948,0.7694145758661888,0.6609564013022533,0.7521530208906677,0.8315412186379928,0.7694145758661888,0.7694145758661888
8,0.38910318089633983,2.1223030478294405,-0.3891031802863094,0.8436108205407072,NOT_IMPLEMENTED,-2.129804996758023,0.7299880525686977,0.7491039426523297,0.6509172749553174,0.7648843050430325,0.8697729988052568,0.7598566308243727,0.7491039426523297
9,0.28987961334684487,1.9247907563966389,-0.2898796133135833,0.8776036410799143,NOT_IMPLEMENTED,-1.9287383919887762,0.7753882915173238,0.8052568697729988,0.7053633350589654,0.7866384618456076,0.8661887694145759,0.7968936678614098,0.8052568697729988
10,0.24567568740257126,1.939037903388297,-0.24567568714202268,0.8966542614931514,NOT_IMPLEMENTED,-1.9459744239943113,0.7395459976105138,0.7897252090800478,0.6492015864330666,0.7401616476485094,0.8399044205495818,0.7849462365591398,0.7897252090800478
11,0.21496696191487916,2.104850145840707,-0.21496696258535827,0.908804350756222,NOT_IMPLEMENTED,-2.1122952936202726,0.7586618876941458,0.7873357228195937,0.7030101647798591,0.800732776967713,0.8387096774193549,0.7837514934289128,0.7873357228195937
12,0.1728722626821386,2.0276377387619244,-0.17287226285833915,0.9260375650095722,NOT_IMPLEMENTED,-2.028741932792028,0.7801672640382318,0.8148148148148148,0.7178375834027214,0.8126809840917303,0.8458781362007168,0.8088410991636799,0.8148148148148148
13,0.12943119844352743,2.3766732932714927,-0.1294311985405697,0.9398718843766862,NOT_IMPLEMENTED,-2.3833600743492234,0.7682198327359617,0.7837514934289128,0.7023942127663602,0.8265184606275251,0.8614097968936678,0.7980884109916367,0.7837514934289128
14,0.14696722300539933,2.1696998162904664,-0.14696722197545692,0.9363131353588211,NOT_IMPLEMENTED,-2.177275786335578,0.7921146953405018,0.8124253285543608,0.7282714992583581,0.8313556497242288,0.8446833930704899,0.8124253285543608,0.8124253285543608
15,0.12707451832088373,2.1602213710920686,-0.12707451779229684,0.9451337087269129,NOT_IMPLEMENTED,-2.1679635145268907,0.7383512544802867,0.7729988052568698,0.690801314137244,0.7961685164712521,0.8518518518518519,0.7670250896057348,0.7729988052568698
16,0.1250061887441461,2.4673967488154416,-0.12500618825973095,0.9498589569674437,NOT_IMPLEMENTED,-2.475920587257352,0.7335722819593787,0.7741935483870968,0.6754750866652105,0.7880770045654178,0.8458781362007168,0.7789725209080047,0.7741935483870968
17,0.09543781995870859,2.2390969772311067,-0.09543781996847621,0.9554617103140163,NOT_IMPLEMENTED,-2.2471085959672914,0.7992831541218638,0.8387096774193549,0.7480305271265469,0.8535452112644519,0.8422939068100358,0.8327359617682198,0.8387096774193549
18,0.112415763355201,2.199091666478281,-0.11241576342015384,0.953867863995809,NOT_IMPLEMENTED,-2.206897534677601,0.7646356033452808,0.7968936678614098,0.7168722138111452,0.8232658504015513,0.8339307048984468,0.7956989247311828,0.7968936678614098
19,0.07716549742824202,2.612607839952744,-0.07716549725735654,0.9643252520636102,NOT_IMPLEMENTED,-2.6219630336011046,0.7514934289127837,0.7945041816009558,0.7017942074566118,0.8251171218878907,0.8267622461170848,0.7837514934289128,0.7945041816009558
20,0.10960987511976449,1.6747606471653507,-0.1096098743892753,0.9570951597668842,NOT_IMPLEMENTED,-1.6801561908060663,0.8148148148148148,0.8614097968936678,0.7560084465726444,0.8407566392863238,0.8757467144563919,0.8530465949820788,0.8614097968936678
21,0.07554006530257613,2.242642705967141,-0.07554006539760959,0.9677461261928021,NOT_IMPLEMENTED,-2.250671372685001,0.7789725209080047,0.8088410991636799,0.7362573162486761,0.8428812700645328,0.8602150537634409,0.8040621266427718,0.8088410991636799
22,0.10775262118911641,2.03236812225843,-0.10775262181563938,0.9577412696625083,NOT_IMPLEMENTED,-2.0396524957671565,0.7945041816009558,0.8172043010752689,0.7468167258562295,0.8551116119291335,0.8721624850657109,0.8327359617682198,0.8172043010752689
23,0.08022171762972594,2.7881793971898983,-0.08022171712616996,0.9656329399244643,NOT_IMPLEMENTED,-2.798169253579688,0.7491039426523297,0.7718040621266428,0.7099380849937384,0.8403034044992682,0.8399044205495818,0.7729988052568698,0.7718040621266428
24,0.05169075549140253,2.5530202257717196,-0.051690755095426776,0.9766772887023145,NOT_IMPLEMENTED,-2.5621688783812346,0.7646356033452808,0.7921146953405018,0.725174814894386,0.8382545409806456,0.8363201911589009,0.7909199522102748,0.7921146953405018
25,0.0730602342574773,2.6605251243373678,-0.07306023442704601,0.9710219876865244,NOT_IMPLEMENTED,-2.670007517796477,0.7467144563918757,0.7861409796893668,0.7175415641802898,0.8395745560544651,0.8482676224611708,0.7909199522102748,0.7861409796893668
26,0.052252768139267484,3.4165120485726566,-0.052252768237538987,0.9763086980478621,NOT_IMPLEMENTED,-3.42847456788884,0.7156511350059738,0.7407407407407407,0.6675970826115517,0.8176613357474443,0.8160095579450418,0.7359617682198327,0.7407407407407407
27,0.04766554684218149,4.5123975018486995,-0.047665547309544275,0.9799828637153545,NOT_IMPLEMENTED,-4.522057431101996,0.6642771804062126,0.6941457586618877,0.6324381486227182,0.8530297322441315,0.8100358422939068,0.6881720430107527,0.6941457586618877
28,0.09139256917648368,2.7601099588143585,-0.09139257023986176,0.9674725451609526,NOT_IMPLEMENTED,-2.766202711970861,0.7443249701314217,0.7765830346475507,0.7121225192412965,0.8468362509563405,0.8207885304659498,0.7753882915173238,0.7765830346475507
29,0.044750577279800176,2.3912715164832616,-0.04475057780381288,0.9814945759502709,NOT_IMPLEMENTED,-2.3997550358933344,0.7873357228195937,0.8172043010752689,0.7545559095706137,0.85956576121181,0.8339307048984468,0.8207885304659498,0.8172043010752689
30,0.05269896277878812,2.403067337751764,-0.05269896238574911,0.9777594587662782,NOT_IMPLEMENTED,-2.4116788887125473,0.7550776583034647,0.7861409796893668,0.7252773191054377,0.8344152434467558,0.8446833930704899,0.7801672640382318,0.7861409796893668
31,0.0624857131806051,2.326425239264964,-0.062485713612486074,0.976506867458272,NOT_IMPLEMENTED,-2.334763454227836,0.8004778972520908,0.8195937873357229,0.7538725004543683,0.8498279918051962,0.8506571087216248,0.8267622461170848,0.8195937873357229
